Group Name,Group ID,Type,Access,Link
ТРЕНУВАННЯ//лютий,2451163848,Channel,Private,🔒 Private
BNB.CZ.PRAHA,2013487722,Supergroup,Private,🔒 Private
2-ая 10тка BNB,2180080284,Supergroup,Private,🔒 Private
ЖК Нивки-Парк Офіційна Сторінка,1233260865,Supergroup,Private,🔒 Private
Журба & win-win ⚡️🇺🇦❤️🎯💰🚖👩‍❤️‍👨🤞,1607115028,Supergroup,Private,🔒 Private
"ЦЕЛЬ ПОСТА, СУКА!",1973316644,Supergroup,Private,🔒 Private
Аренда | Братислава | Словакия | Чат,1570959259,Supergroup,Public,https://t.me/rent_bratislava_slovakia
Все курсы и все книги,2206228852,Supergroup,Private,🔒 Private
Хто чим корисний -жк Яскравий,1086526309,Supergroup,Private,🔒 Private
Аніта Соловей,1307763175,Channel,Public,https://t.me/anita_solovei
Чехия 🇨🇿 Чат TravelAsk,1789490061,Supergroup,Private,🔒 Private
NP7,1417402391,Supergroup,Private,🔒 Private
ИСПАНИЯ НЕДВИЖИМОСТЬ 🇪🇸 ИНВЕСТИЦИИ 🇪🇸 АРЕНДА ВИЛЛ 🇪🇸,1419085558,Channel,Public,https://t.me/spainestate
Boost STANDART Networking,2162743482,Supergroup,Private,🔒 Private
PRAHA.CZ. BUSINESS LUNCH,2007705377,Supergroup,Private,🔒 Private
Події на Concert.ua,1124650356,Channel,Public,https://t.me/Concertua
Конференция в Праге STANDART,2382978900,Supergroup,Private,🔒 Private
BNB. ALL CLUBS,1511190397,Supergroup,Private,🔒 Private
Лілія Карпенко • Chat Автоматизації для бізнесу і експертів,2462389769,Supergroup,Private,🔒 Private
Ліля Карпенко • Автоматизації та Штучний інтелект для Вашої Продуктивності,2495965453,Channel,Public,https://t.me/lkarpenko_pro_it
SCALEINIT тесты,2421961343,Channel,Public,https://t.me/scaleinit_test
Марина Хмєловська | Про карму,1248061916,Channel,Public,https://t.me/marina_khmelovskaya
Vinegret.cz | Новости Чехии | Новости Праги,1378153998,Channel,Public,https://t.me/vinegret_cz
Джон Кехо | Официальный канал,1447169633,Channel,Public,https://t.me/johnkehoe
КРИПТОВАЛЮТА БИТКОИН ОБМЕН ПРАГА МЕЖДУНАРОДНЫЕ ПЕРЕВОДЫ ПЕРЕСТАНОВКА ЮСДТ КРОНА ЕВРО РУБЛЬ ГРИВНА ДОЛЛАР БТЦ КРИПТА ДЕНЬГИ НАЛИЧ,2217483693,Supergroup,Public,https://t.me/cryptocurrencies_prague
ТвоеПерерождение,2070652349,Supergroup,Public,https://t.me/TvoePererozdenie
Словакия ВНЖ | ЧАТ | Релокация,1884257868,Supergroup,Public,https://t.me/slovakia_chat_vng
ITCAT,1376147094,Channel,Public,https://t.me/cat_proit
Курс-практикум «Мужчина Мечты»,2368285009,Channel,Private,🔒 Private
Мужчина мечты,2186234703,Channel,Public,https://t.me/manofmydream
Створи себе,1843017809,Channel,Public,https://t.me/stvorysebe_by_nazar_stodolya
Дневник Соцсети 2024,2006330717,Channel,Private,🔒 Private
ЦЕЛИ 2024,2248478830,Supergroup,Private,🔒 Private
БОГАТЫЕ ЛУЧШЕ БЕДНЫХ или Методичка к курсу ИНВЕСТИРОВАНИЕ,2140286611,Channel,Private,🔒 Private
ШКОЛА РИЕЛТОРОВ-2,1960207042,Channel,Private,🔒 Private
Книги к курсу СОЦСЕТИ,1791558936,Channel,Private,🔒 Private
Книга ЦЕЛИ,2214890977,Channel,Private,🔒 Private
Наталія Капцова🇺🇦,1348256796,Supergroup,Private,🔒 Private
Книга САМООЦІНКА,1779596911,Channel,Private,🔒 Private
ЧТОБЫ ЧТО?,1879450068,Channel,Private,🔒 Private
Вокал Семья🎤,1759066219,Supergroup,Private,🔒 Private
ЧАТ власників квартир в ЖК Нивки Парк,1438308653,Supergroup,Private,🔒 Private
ПП «Дзвінкове – Лонья». Dzvinkove – Lonya,1661124024,Supergroup,Public,https://t.me/dzvinkovelonya
Ольга Зеренкова | Бизнес,2228511925,Channel,Public,https://t.me/olgazerenkov
𝗨𝗸𝗿𝗮𝗶𝗻𝗲 𝗠𝘂𝘀𝗶𝗰 🕊🇺🇦 | Українська Музика | Українські ремікси,1767514605,Channel,Public,https://t.me/ukrainemusictop1
Той самий Бабіч,1621348684,Channel,Public,https://t.me/toisamyibabich
Михаил Жилин. Смехотерапия.,1493763164,Channel,Public,https://t.me/zhilinpro
Встречи | Услуги | Прага,1788453342,Supergroup,Private,🔒 Private
МАСТЕР & МОДЕЛЬ | ПРАГА,1184045350,Channel,Public,https://t.me/model_praha
Svitlo na Staromáku 💡 Громадський центр Світло,1613731368,Channel,Public,https://t.me/svitlopraha
Базар билетов | Чехия,1811873311,Supergroup,Public,https://t.me/czech_info_chat3
BNB Нетворкинг онлайн,2178474068,Supergroup,Private,🔒 Private
Школа Кармології ✨ Марини Хмєловської,1808967918,Channel,Public,https://t.me/khmelovskay_karmology
Маріанна Журавчак ©,1971305036,Channel,Public,https://t.me/zhuravchak_marianna
KOVER | Чешский язык | Чехия,1626763501,Channel,Public,https://t.me/kover_czech
CZ | Дешевые туры и билеты из Чехии,1767829217,Channel,Public,https://t.me/cz_trip
Вселенная Красоты,1220053062,Channel,Private,🔒 Private
📚 Book club Praga,2118626481,Supergroup,Public,https://t.me/bookclubpraga
ПРАГА 😍 PRAHA,1988493018,Channel,Public,https://t.me/praha_czech1
ЗМІНИ / Natalie Rusnak/,1730123905,Channel,Public,https://t.me/zminu_by_natalia_rusnak
"АРЕНДА ВИЛЛ: ИСПАНИЯ, ГРЕЦИЯ, САРДИНИЯ, ПОРТУГАЛИЯ ☀️🌴🌊",2103122969,Channel,Public,https://t.me/rental_villas
Затишний маркетинг🇺🇦,1491864851,Channel,Public,https://t.me/cozymarketingua
CZ | Бесплатные мероприятия и акции в Чехии,2140857718,Channel,Public,https://t.me/cz_free
Soft Skills fwdays,2036536013,Supergroup,Private,🔒 Private
Нетехнічне IT,1725055100,Channel,Public,https://t.me/nontechnical_it
Маркетинг в Чехии,2066849216,Channel,Public,https://t.me/marketing_backpack
Web Academy | Create Your IT Future,1116310171,Channel,Public,https://t.me/webacademycomua
Що зараз працює в IT-продажах,1719902098,Channel,Public,https://t.me/growthaccelerator2
Янина Богун & Со,1509358598,Channel,Private,🔒 Private
Алекс Исупова,1735121992,Channel,Public,https://t.me/aleks_isupova
Solid English School,1251861193,Channel,Public,https://t.me/solid_english_school
BNB нетворкинг онлайн,1992781735,Supergroup,Private,🔒 Private
ТАЗОВЕ ДНО,1747758317,Channel,Private,🔒 Private
Прага Boost,2358132009,Supergroup,Private,🔒 Private
"Наставники, порадники з ІТ напрямів",1610597971,Channel,Public,https://t.me/prohood_1
ТРЕНУВАННЯ//лютий Chat,2457966993,Supergroup,Private,🔒 Private
Аренда | Братислава | Недвижимость,1840072195,Channel,Public,https://t.me/rent_slovakia
Події на Concert.ua — чат,2388080799,Supergroup,Private,🔒 Private
Марина Хмеловская | Чат,1353740641,Supergroup,Private,🔒 Private
Vinegret.cz – чат-группа,2492432675,Supergroup,Public,https://t.me/vinegret_chat
Джон Кехо | Официальный канал на русском Chat,1486617836,Supergroup,Private,🔒 Private
Встраиваясь в совершенство‌💞 Валерий Стейн,1530452990,Channel,Public,https://t.me/notoneone
Створи себе Chat,2168009314,Supergroup,Private,🔒 Private
БОГАТЫЕ ЛУЧШЕ БЕДНЫХ или Методичка к курсу ИНВЕСТИРОВАНИЕ Chat,2082156627,Supergroup,Private,🔒 Private
Книга СИСЬКИ И КОТИКИ Chat,1866178160,Supergroup,Private,🔒 Private
Книга ЦЕЛИ Chat,2184355675,Supergroup,Private,🔒 Private
Книга САМООЦІНКА Chat,1868849148,Supergroup,Private,🔒 Private
